,event_id,Полное наименование,Сокращенное наименование,Адрес,ИНН,ОГРН,Дата собрания,Форма собрания,Дивиденды,Совет директоров
313,-AahX-AXaFJk68Wkt-A6UAqdA-B-B,"Публичное акционерное общество ""СИБУР Холдинг""","ПАО ""СИБУР Холдинг""","Тюменская область, г. Тобольск, Восточный промышленный район, квартал 1, № 6, строение 30",7727547261,1057747421247,2021-04-12,заочное голосование,принято решение выплатить дивиденды,"['ВАН ДАНЬ', 'ВАСНЕЦОВ СЕРГЕЙ АНДРЕЕВИЧ', 'ВЕРНИКОВ АНДРЕЙ ВЛАДИМИРОВИЧ', 'ДЮКОВ АЛЕКСАНДР ВАЛЕРЬЕВИЧ', 'КОМИССАРОВ АЛЕКСЕЙ ГЕННАДИЕВИЧ', 'КОНОВ ДМИТРИЙ ВЛАДИМИРОВИЧ', 'ЛИ ЧЭНФЭН', 'МИХЕЛЬСОН ЛЕОНИД ВИКТОРОВИЧ', 'РАЗУМОВ ВЛАДИМИР ВЛАДИМИРОВИЧ', 'СОСНИНА КСЕНИЯ НИКОЛАЕВНА', 'ТИМЧЕНКО ГЕННАДИЙ НИКОЛАЕВИЧ', 'ШАМАЛОВ КИРИЛЛ НИКОЛАЕВИЧ']"
314,TcCxmVtibEaqzmOG7J8sVA-B-B,Государственный специализированный Российский экспортно-импортный банк (акционерное общество),АО РОСЭКСИМБАНК,"Российская Федерация, 123610, г. Москва, Краснопресненская наб. д.12",7704001959,1027739109133,2021-04-12,собрание,вопрос не поднимался,"['Алгульян Даниил Валерьевич', 'Гусаков Никита Валерьевич', 'Ильичев Владимир Евгеньевич', 'Максимов Тимур Игоревич', 'Никишина Вероника Олеговна', 'Осьмаков Василий Сергеевич', 'Полубояринов Михаил Игоревич']"
315,qIboJ0spCkyNuMmUMkc9gA-B-B,"Открытое акционерное общество ""Лианозовский завод керамзитового гравия""","ОАО ""ЛЗКГ""","127644, город Москва, Вагоноремонтная ул., д. 10",7713300480,1027739798415,2021-04-12,собрание,принято решение выплатить дивиденды,"['Абрамов Максим Алексеевич', 'Сиротинская Милена Николаевна', 'Тришин Владимир Валентинович', 'Сухов Игорь Борисович', 'Уварова Любовь Ивановна']"
316,Va0x78FSC0iQM4y3C9GS6A-B-B,"Публичное акционерное общество ""Центр международной торговли""","ПАО ""ЦМТ""","123610, Россия, Москва, Краснопресненская наб., 12",7703034574,1027700072234,2021-04-09,заочное голосование,принято решение выплатить дивиденды,
317,9wIN7H8xXU28BnSM2PmEyA-B-B,"Акционерное общество ""Коммерческая недвижимость Финансово-промышленной корпорации ""Гарант-Инвест""","АО ""Коммерческая недвижимость ФПК ""Гарант-Инвест""","127051, г. Москва, 1-ый Колобовский переулок, д. 23, пом. 1, ком. 3",7726637843,1097746603680,2021-04-09,заочное голосование,вопрос не поднимался,[]
318,XKJXiB39UE6n1SwG1BQlpg-B-B,"Публичное акционерное общество ""Научно-производственный центр НИИЭС""","ПАО ""НПЦ НИИЭС""","109052, г. Москва, ул. Смирновская, д. 25",7722023521,1027739114391,2021-04-09,собрание,принято решение не выплачивать дивиденды,"['Алексеев Алексей Николаевич', 'Балута Эдуард Иванович', 'Барабанов Сергей Николаевич', 'Барыба Павел Иванович', 'Белянин Алексей Сергеевич']"
319,MlsZhjmPD0iVC5Ut5ThWEg-B-B,"Общество с ограниченной ответственностью ""Городской супермаркет""","ООО ""Городской супермаркет""","Российская Федерация, 113054, г. Москва, ул. Валовая, д. 8/18",7705466989,1027705012312,2021-04-08,собрание,вопрос не поднимался,[]
320,vQV90E-Cp-C0a0Ledewl6tTQ-B-B,"Общество с ограниченной ответственностью ""ПРОМОМЕД ДМ""","ООО ""ПРОМОМЕД ДМ""","129090, ГОРОД МОСКВА, ПРОСПЕКТ МИРА, Д. 13 КОРПУС СТРОЕНИЕ 1 , ОФИС 107/2",7724365841,1167746497280,2021-04-07,заочное голосование,вопрос не поднимался,"['Белый Петр Александрович', 'Маев Игорь Вениаминович', 'Палевская Елена Юрьевна', 'Пенькова Марина Владимировна', 'Ющук Николай Дмитриевич']"
321,T14yd-CvKLkCgRGwVWDk4rQ-B-B,"Акционерное общество ""Московский шлифовальный инструмент""","АО ""МОСШЛИФИНСТРУМЕНТ""","125130, г. Москва, Старопетровский проезд, д. 7а",7712014976,1037739346523,2021-04-06,собрание,вопрос не поднимался,
322,fvL-A-CVYyIEqHYsYAhRZnuw-B-B,"Публичное акционерное общество ""Объединенные Кредитные Системы""","ПАО ""ОКС""","107031, г. Москва, улица Петровка, дом 27, помещение 1, комната 8 этаж 2",7708776756,1127747195938,2021-04-05,заочное голосование,вопрос не поднимался,
323,m0d-CEsMNsEyOdegHTSdbsQ-B-B,Акционерное общество «ЭКСПОЦЕНТР»,АО «ЭКСПОЦЕНТР»,"123100, Россия, г. Москва, Краснопресненская наб., д. 14",7718033809,1027700167153,2021-04-02,заочное голосование,принято решение выплатить дивиденды,"['Аксёнов Иван Владимирович', 'Беднов Сергей Сергеевич', 'Гусев Николай Николаевич', 'Катырин Сергей Николаевич', 'Садовничая Анна Викторовна', 'Селиванов Сергей Викторович', 'Страшко Владимир Петрович', 'Фатеев Максим Альбертович', 'Чухрова Людмила Ивановна']"
324,CZ1-AkDnpZUaRRQUUR1Gb-Ag-B-B,"Акционерное общество ""Опытный завод сухих смесей""","АО ""Опытный завод сухих смесей""","117403, г.Москва, ул.Мелитопольская, влад.11, корп.2",7726017335,1027739149965,2021-04-05,собрание,принято решение выплатить дивиденды,[]
325,XjN-AkZvW3kauS7Y0jUs6oA-B-B,"Акционерное общество ""Опытное конструкторское бюро ""Кристалл""","АО ""ОКБ ""Кристалл""","111024 г. Москва, проезд Энтузиастов, д. 15, корп. 67",7720015691,1027739249009,2021-04-02,собрание,вопрос не поднимался,
326,ZYp-AgD2iwUm2-CWY-AxD2opw-B-B,"Публичное Акционерное Общество  ""Московский машиностроительный завод "" Рассвет""","ПАО ""ММЗ ""Рассвет""","123022, г.  Москва, Столярный переулок, дом 3, корпус 12",7703010005,1027739055090,2021-04-05,собрание,вопрос не поднимался,[]
327,gYjM8fZGCk-C6WOKiDheuLw-B-B,"Акционерное общество  ""КАДОШ""","АО ""КАДОШ""","127282, Москва,ул.Полярная, д.39-Б",7715019725,1027700087040,2021-03-31,собрание,принято решение не выплачивать дивиденды,"['Тихоновского Александра Юрьевича', 'Карцева Евгения Николаевича', 'Денисову Светлану Владимировну', 'Водоевич Ирину Николаевну', 'Форис Марту Игоревну']"
328,dIK9tOA-CXEWqQuU93Qypig-B-B,Акционерное общество «ОТП Банк»,АО «ОТП Банк»,"125171,  г. Москва, Ленинградское шоссе, д.16 А, стр.2",7708001614,1027739176563,2021-04-01,собрание,принято решение не выплачивать дивиденды,"['Майор Золтан', 'Банфи Аттила', 'Бёле Ференц', 'Чижевский Илья Петрович', 'Хорват Габор', 'Молнар Мартон Гергей', 'Сентпетери Адам Андраш', 'Видо Берталан', 'Дьёркеи Кристиан']"
329,BD3QvHv-CrEO8W5eTlGu0kQ-B-B,Закрытое акционерное общество «Ипотечный агент «Московский»,ЗАО «ИА «Московский»,"125171, Российская Федерация, г. Москва, Ленинградское шоссе, дом 16А, строение 1, этаж 8",7743909208,5137746159403,2021-04-01,собрание,принято решение не выплачивать дивиденды,[]
